Data,Título,Tipo,Regime,Link Oferta,Google Flights,Skyscanner
2026-01-21,🍷 Porto for a pinch 🤏 Last-minute 2-night getaway with ✈️ & hotel,Voo + Hotel,,https://www.holidaypirates.com/packages/porto-stay-hotel-porto-centro-trindade,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-01-21,"Adults-only 4⭐️ all-inclusive Morocco holiday with ✈️, bags & transfers 🌴😎",Voo + Hotel,,https://www.holidaypirates.com/packages/tui-blue-riu-tikida-garden-marrakech-morocco,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-01-21,"🌋 St Lucia week with suite, meals & direct flights 🌸",Voo + Hotel,,https://www.holidaypirates.com/packages/st-lucia-harmony-marina-suites,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-01-21,Dreamy countryside escape to Cotswolds in a lodge 😍 🐑 ,Voo,,https://www.holidaypirates.com/hotels/Feldon-Valley-Cotswolds-England,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-01-21,Galentine's weekend trip with hot tub 💖💦 Lancashire📍,Voo,,https://www.holidaypirates.com/hotels/lancashire-stay-with-hot-tub,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-01-21,5-night Santorini holiday over the weekend under £200 🌴🐚,Voo,,https://www.holidaypirates.com/packages/villa-pelekanos-messaria-santorini-greek-islands,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-01-21,Two-night stay at off-grid woodland cabin in Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿,Voo,,https://www.holidaypirates.com/hotels/get-back-to-nature-in-scotland,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-01-21,Lush Greece break at 5⭐️ boutique hotel with ✈️ 😍 🇬🇷 ,Voo,,https://www.holidaypirates.com/packages/Camvillia-Resort-and-Spa-Peloponnese-Greece,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-01-21,🚨 Last-minute 🚨 Fuerteventura all-inclusive week,Voo + Hotel,,https://www.holidaypirates.com/packages/hotel-livvo-jandia-golf-fuerteventura,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-01-21,Stay in a luxe beer spa chateaux in central Prague 🇨🇿 ,Voo,,https://www.holidaypirates.com/hotels/stay-in-a-luxe-beer-spa-chateaux-in-central-prague,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-01-21,5-night Cairo summer city break at top-rated hotel 🏜️🐫,Voo + Hotel,,https://www.holidaypirates.com/packages/triumph-plaza-hotel-cairo-egypt,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
